rating_count_bucket,user_count,avg_rating_given,user_share
1,2881832,3.83923733236358,0.6858735139334212
2,668184,4.011720573973636,0.15902721186873112
3-5,473011,4.098123827987087,0.11257620732199569
6-10,127256,4.163024065475817,0.03028681751368971
11-20,39402,4.203274621485666,0.009377641790362748
21-50,10545,4.231741608526341,0.002509700844611319
51-100,1186,4.254908735563387,0.0002822669702900924
100+,280,4.278031417509525,6.663975689816683e-05
