product_id,product_name,main_category,rating_num,rating_count_num,sentiment_score,sentiment_label,sentiment_confidence,dominant_topic,topic_score,matched_topic_words,review_length_chars
B09F6S8BT6,Samsung 80 cm (32 Inches) Wondertainment Series HD Ready LED Smart TV UA32T4340BKXXL (Glossy Black),Electronics,4.3,16299.0,-0.22645540682891913,negative,0.10256410256410256,Product Quality & Durability,1,quality,549
B09NHVCHS9,Flix Micro Usb Cable For Smartphone (Black),Computers&Accessories,4.0,9378.0,0.9428090415820635,positive,0.1111111111111111,Charging & Power,5,"charging, fast",505
B0B1YVCJ2Y,Acer 80 cm (32 inches) I Series HD Ready Android Smart LED TV AR32AR2841HDFL (Black),Electronics,4.3,4703.0,1.4724700907550443,positive,0.08108108108108109,Compatibility & Usability,17,"connect, laptop, phone, compatible, works, mobile, connection, device",4919
B01M4GGIVU,Tizum High Speed HDMI Cable with Ethernet | Supports 3D 4K | for All HDMI Devices Laptop Computer Gaming Console TV Set Top Box (1.5 Meter/ 5 Feet),Electronics,4.2,12153.0,0.9607689228305227,positive,0.10256410256410256,Product Quality & Durability,6,"quality, working",1181
B08B42LWKN,OnePlus 80 cm (32 inches) Y Series HD Ready LED Smart Android TV 32Y1 (Black),Electronics,4.2,34899.0,0.8444006618414982,positive,0.0855614973262032,Price & Value,12,"worth, affordable, price, cost, money, budget",3945
B094JNXNPV,"Ambrane Unbreakable 3 in 1 Fast Charging Braided Multipurpose Cable for Speaker with 2.1 A Speed - 1.25 meter, Black",Computers&Accessories,4.0,2766.0,0.0,neutral,0.08275862068965517,Charging & Power,22,"charging, cable, fast, charger, lightning, type, power",943
B09W5XR9RT,"Duracell USB C To Lightning Apple Certified (Mfi) Braided Sync & Charge Cable For Iphone, Ipad And Ipod. Fast Charging Lightning Cable, 3.9 Feet (1.2M) - Black",Computers&Accessories,4.4,184.0,2.2391714737574007,positive,0.2638888888888889,Product Quality & Durability,7,"durable, quality, sturdy",555
B077Z65HSD,"boAt A400 USB Type-C to USB-A 2.0 Male Data Cable, 2 Meter (Black)",Computers&Accessories,4.3,20850.0,1.7795130420052185,positive,0.16666666666666666,Charging & Power,16,"charging, cable, fast, usb, battery",836
B00NH11PEY,"AmazonBasics USB 2.0 - A-Male to A-Female Extension Cable for Personal Computer, Printer (Black, 9.8 Feet/3 Meters)",Computers&Accessories,4.5,74976.0,0.8387421368293257,positive,0.06395348837209303,Charging & Power,19,"usb, cable, port, type",1254
B09CMM3VGK,"Ambrane 60W / 3A Type C Fast Charging Unbreakable 1.5m L Shaped Braided Cable, PD Technology, 480Mbps Data Transfer for Smartphones, Tablet, Laptops & other type c devices (ABLC10, Black)",Computers&Accessories,4.0,1934.0,0.8669214468630108,positive,0.10559006211180125,Charging & Power,15,"cable, charging, charge, port, type",1092
B08QSC1XY8,"Zoul USB C 60W Fast Charging 3A 6ft/2M Long Type C Nylon Braided Data Cable Quick Charger Cable QC 3.0 for Samsung Galaxy M31S M30 S10 S9 S20 Plus, Note 10 9 8, A20e A40 A50 A70 (2M, Grey)",Computers&Accessories,4.3,974.0,0.9058216273156765,positive,0.1282051282051282,Charging & Power,9,"cable, charging, fast",546
B008FWZGSG,"Samsung Original Type C to C Cable - 3.28 Feet (1 Meter), White",Computers&Accessories,4.3,355.0,1.4444444444444444,positive,0.18518518518518517,Charging & Power,7,"charging, cable, fast",555
B0B4HJNPV4,"pTron Solero T351 3.5Amps Fast Charging Type-C to Type-C PD Data & Charging USB Cable, Made in India, 480Mbps Data Sync, Durable 1 Meter Long Cable for Type-C Smartphones, Tablets & Laptops (Black)",Computers&Accessories,3.9,1075.0,0.5933908290969266,positive,0.18309859154929578,Charging & Power,10,"cable, charging, fast, usb",468
B08Y1SJVV5,"pTron Solero MB301 3A Micro USB Data & Charging Cable, Made in India, 480Mbps Data Sync, Strong & Durable 1.5-Meter Nylon Braided USB Cable for Micro USB Devices - (Black)",Computers&Accessories,3.9,24871.0,1.2977713690461004,positive,0.21052631578947367,Charging & Power,2,"usb, charging",274
B07XLCFSSN,"Amazonbasics Nylon Braided Usb-C To Lightning Cable, Fast Charging Mfi Certified Smartphone, Iphone Charger (6-Foot, Dark Grey)",Computers&Accessories,4.4,13552.0,1.4411533842457842,positive,0.14102564102564102,Charging & Power,10,"cable, charging, charger, power, port",1086
B09RZS1NQT,"Sounce 65W OnePlus Dash Warp Charge Cable, 6.5A Type-C to USB C PD Data Sync Fast Charging Cable Compatible with One Plus 8T/ 9/ 9R/ 9 pro/ 9RT/ 10R/ Nord & for All Type C Devices – Red, 1 Meter",Computers&Accessories,4.0,576.0,0.9722718241315028,positive,0.1015625,Charging & Power,11,"cable, charging, power, type, usb",915
B0B3MMYHYW,OnePlus 126 cm (50 inches) Y Series 4K Ultra HD Smart Android LED TV 50Y1S Pro (Black),Electronics,4.2,7298.0,0.534133315601561,positive,0.06404657933042213,Product Quality & Durability,13,"quality, defective",4937
B09C6HWG18,"Duracell Type C To Type C 5A (100W) Braided Sync & Fast Charging Cable, 3.9 Feet (1.2M). USB C to C Cable, Supports PD & QC 3.0 Charging, 5 GBPS Data Transmission – Black",Computers&Accessories,4.2,462.0,1.459992790176863,positive,0.15789473684210525,Charging & Power,13,"cable, charging, fast, type",1066
B00NH11KIK,"AmazonBasics USB 2.0 Cable - A-Male to B-Male - for Personal Computer, Printer- 6 Feet (1.8 Meters), Black",Computers&Accessories,4.5,107687.0,1.1043152607484654,positive,0.17073170731707318,Compatibility & Usability,5,"works, working, laptop",569
B09JPC82QC,Mi 108 cm (43 inches) Full HD Android LED TV 4C | L43M6-INC (Black),Electronics,4.3,27151.0,1.1352524534314692,positive,0.056592765460910154,Product Quality & Durability,24,"quality, build, damaged, long, strong, working",13253
B07JW1Y6XV,"Wayona Nylon Braided 3A Lightning to USB A Syncing and Fast Charging Data Cable for iPhone, Ipad (3 FT Pack of 1, Black)",Computers&Accessories,4.2,24269.0,1.3339459376998313,positive,0.22058823529411764,Charging & Power,6,"charging, cable, fast",483
B07KRCW6LZ,"TP-Link Nano AC600 USB Wi-Fi Adapter(Archer T2U Nano)- 2.4G/5G Dual Band Wireless Network Adapter for PC Desktop Laptop, Mini Travel Size, Supports Windows 11,10, 8.1, 8, 7, XP/Mac OS 10.9-10.15",Computers&Accessories,4.3,12093.0,0.7717436331412897,positive,0.11029411764705882,Compatibility & Usability,7,"easy, working, device, laptop",964
B09NJN8L25,"FLiX (Beetel USB to Micro USB PVC Data Sync & 2A Fast Charging Cable, Made in India, 480Mbps Data Sync, Solid Cable, 1 Meter Long USB Cable for Micro USB Devices (White)(XCD-M11)",Computers&Accessories,4.0,9378.0,0.9428090415820635,positive,0.1111111111111111,Charging & Power,5,"charging, fast",505
B07XJYYH7L,"Wecool Nylon Braided Multifunction Fast Charging Cable For Android Smartphone, Ios And Type C Usb Devices, 3 In 1 Charging Cable, 3A, (3 Feet) (Black)",Computers&Accessories,3.3,9792.0,-0.22941573387056174,negative,0.07894736842105263,Charging & Power,19,"charging, charge, charger, fast, cable, power, type, battery",533
B002PD61Y4,D-Link DWA-131 300 Mbps Wireless Nano USB Adapter (Black),Computers&Accessories,4.1,8131.0,0.9847319278346618,positive,0.12121212121212122,Compatibility & Usability,2,"works, mobile",483
B014I8SSD0,"Amazon Basics High-Speed HDMI Cable, 6 Feet - Supports Ethernet, 3D, 4K video,Black",Electronics,4.4,426973.0,1.0606601717798212,positive,0.109375,Charging & Power,3,cable,901
B09L8DSSFH,7SEVEN® Compatible for Samsung Smart 4K Ultra HD TV Monitor Remote Control Replacement of Original Samsung TV Remote for LED OLED UHD QLED and Suitable for 6 7 8 Series Samsung TV with Hot Keys BN59-01259E,Electronics,3.6,493.0,0.35494260376644554,positive,0.09448818897637795,Charging & Power,3,battery,936
B07232M876,"Amazonbasics Micro Usb Fast Charging Cable For Android Smartphone,Personal Computer,Printer With Gold Plated Connectors (6 Feet, Black)",Computers&Accessories,4.2,92595.0,0.6437963064592142,positive,0.03665413533834586,Charging & Power,51,"cable, charging, usb, fast, charger, type, port",8642
B07P681N66,"TP-Link AC600 600 Mbps WiFi Wireless Network USB Adapter for Desktop PC with 2.4GHz/5GHz High Gain Dual Band 5dBi Antenna Wi-Fi, Supports Windows 11/10/8.1/8/7/XP, Mac OS 10.15 and earlier (Archer T2U Plus)",Computers&Accessories,4.4,24780.0,0.7055406512876979,positive,0.05530973451327434,Compatibility & Usability,17,"device, working, easy, connect, laptop, works",3226
B0711PVX6Z,"AmazonBasics Micro USB Fast Charging Cable for Android Phones with Gold Plated Connectors (3 Feet, Black)",Computers&Accessories,4.2,92595.0,0.6437963064592142,positive,0.03665413533834586,Charging & Power,51,"cable, charging, usb, fast, charger, type, port",8642
B082T6V3DT,"AmazonBasics New Release Nylon USB-A to Lightning Cable Cord, Fast Charging MFi Certified Charger for Apple iPhone, iPad (6-Ft, Rose Gold)",Computers&Accessories,4.3,8188.0,0.6209204205650662,positive,0.060240963855421686,Charging & Power,16,"cable, charging, charge, fast",1141
B07MKFNHKG,VW 80 cm (32 inches) Frameless Series HD Ready LED TV VW32A (Black),Electronics,4.2,4003.0,0.691668501245082,positive,0.0664451827242525,Product Quality & Durability,6,"quality, working",2206
B0BFWGBX61,"Ambrane Unbreakable 3A Fast Charging Braided Type C Cable    1.5 Meter (RCT15, Blue) Supports QC 2.0/3.0 Charging",Computers&Accessories,4.1,314.0,0.7977240352174656,positive,0.16883116883116883,Charging & Power,12,"cable, charging, charge, fast, charger",613
B01N90RZ4M,Tata Sky Universal Remote,Electronics,3.7,2960.0,0.14433756729740646,positive,0.10416666666666667,Product Quality & Durability,4,"durable, build, quality, material",336
B0088TKTY2,"TP-LINK WiFi Dongle 300 Mbps Mini Wireless Network USB Wi-Fi Adapter for PC Desktop Laptop(Supports Windows 11/10/8.1/8/7/XP, Mac OS 10.9-10.15 and Linux, WPS, Soft AP Mode, USB 2.0) (TL-WN823N),Black",Computers&Accessories,4.2,179691.0,0.6472977780031546,positive,0.07635009310986965,Compatibility & Usability,15,"connect, device, easy, connection, mobile, working, laptop, phone",3989
B09Q5SWVBJ,OnePlus 80 cm (32 inches) Y Series HD Ready Smart Android LED TV 32 Y1S (Black),Electronics,4.2,34899.0,0.8444006618414982,positive,0.0855614973262032,Price & Value,12,"worth, affordable, price, cost, money, budget",3945
B0B4DT8MKT,"Wecool Unbreakable 3 in 1 Charging Cable with 3A Speed, Fast Charging Multi Purpose Cable 1.25 Mtr Long, Type C cable, Micro Usb Cable and Cable for iPhone, White",Computers&Accessories,4.2,656.0,0.8207826816681233,positive,0.12631578947368421,Charging & Power,9,"charger, cable, charge, type, fast, lightning, charging",624
B08CDKQ8T6,"Portronics Konnect L 1.2Mtr, Fast Charging 3A Micro USB Cable with Charge & Sync Function (Grey)",Computers&Accessories,4.3,7064.0,1.4142135623730951,positive,0.16666666666666666,Charging & Power,5,"cable, fast, charge",513
B07B275VN9,"Airtel DigitalTV DTH Television, Setup Box Remote Compatible for SD and HD Recording (Black)",Electronics,3.7,2201.0,0.7120689949163119,positive,0.14084507042253522,Compatibility & Usability,5,"works, working, connect, easy",457
B0B15CPR37,Samsung 108 cm (43 inches) Crystal 4K Neo Series Ultra HD Smart LED TV UA43AUE65AKXXL (Black),Electronics,4.3,7109.0,0.9070314577338638,positive,0.04821150855365474,Product Quality & Durability,8,"quality, defective, long",4728
B0994GFWBH,Lapster 1.5 mtr USB 2.0 Type A Male to USB A Male Cable for computer and laptop,Computers&Accessories,4.0,1313.0,0.8846517369293828,positive,0.09782608695652174,Charging & Power,12,"cable, charge, type, usb",1326
B01GGKZ0V6,AmazonBasics USB Type-C to USB Type-C 2.0 Cable - 3 Feet Laptop (0.9 Meters) - White,Computers&Accessories,4.2,29746.0,0.8081220356417685,positive,0.14285714285714285,Charging & Power,9,"cable, charging, charger, fast, type",639
B09F9YQQ7B,Redmi 80 cm (32 inches) Android 11 Series HD Ready Smart LED TV | L32M6-RA/L32M7-RA (Black),Electronics,4.2,45238.0,1.0,positive,0.13609467455621302,Product Quality & Durability,9,"quality, long, stopped",1188
B014I8SX4Y,"Amazon Basics High-Speed HDMI Cable, 6 Feet (2-Pack),Black",Electronics,4.4,426973.0,1.0606601717798212,positive,0.109375,Charging & Power,3,cable,901
B09Q8HMKZX,"Portronics Konnect L 20W PD Quick Charge Type-C to 8-Pin USB Mobile Charging Cable, 1.2M, Tangle Resistant, Fast Data Sync(Grey)",Computers&Accessories,4.1,450.0,1.5158734579197342,positive,0.1276595744680851,Charging & Power,19,"charging, cable, type, power, fast, charge, lightning",1046
B0B9XN9S3W,Acer 80 cm (32 inches) N Series HD Ready TV AR32NSV53HD (Black),Electronics,4.3,457.0,1.4422859214612347,positive,0.12735849056603774,Price & Value,10,"value, money, price, affordable",1578
B07966M8XH,"Model-P4 6 Way Swivel Tilt Wall Mount 32-55-inch Full Motion Cantilever for LED,LCD and Plasma TV's",Electronics,4.2,2727.0,1.7364862842489186,positive,0.2153846153846154,Product Quality & Durability,4,"sturdy, quality",464
B01GGKYKQM,"Amazon Basics USB Type-C to USB-A 2.0 Male Fast Charging Cable for Laptop - 3 Feet (0.9 Meters), Black",Computers&Accessories,4.3,20053.0,1.0206207261596576,positive,0.125,Charging & Power,8,"cable, usb, type, fast, charge",668
B0B86CDHL1,"oraimo 65W Type C to C Fast Charging Cable USB C to USB C Cable High Speed Syncing, Nylon Braided 1M length with LED Indicator Compatible For Laptop, Macbook, Samsung Galaxy S22 S20 S10 S20Fe S21 S21 Ultra A70 A51 A71 A50S M31 M51 M31S M53 5G",Computers&Accessories,4.5,149.0,1.2450860349589343,positive,0.11483253588516747,Charging & Power,16,"cable, fast, charging, charge, usb, charger, type",1508
B0B5ZF3NRK,"CEDO 65W OnePlus Dash Warp Charge Cable, USB A to Type C Data Sync Fast Charging Cable Compatible with One Plus 3 /3T /5 /5T /6 /6T /7 /7T /7 pro & for All Type C Devices - 1 Meter, Red",Computers&Accessories,4.1,210.0,2.528102914801153,positive,0.3333333333333333,Charging & Power,15,"fast, charge, cable, charging, charger",481
B09RFC46VP,Redmi 108 cm (43 inches) 4K Ultra HD Android Smart LED TV X43 | L43R7-7AIN (Black),Electronics,4.2,45238.0,1.0,positive,0.13609467455621302,Product Quality & Durability,9,"quality, long, stopped",1188
B08R69VDHT,"Pinnaclz Original Combo of 2 Micro USB Fast Charging Cable, USB Charging Cable for Data Transfer Perfect for Android Smart Phones White 1.2 Meter Made in India (Pack of 2)",Computers&Accessories,4.0,7732.0,0.6499336836196815,positive,0.11206896551724138,Charging & Power,9,"usb, power, cable, type, charger",770
B09RWZRCP1,"boAt Type C A750 Stress Resistant, Tangle-free, Sturdy Flat Cable with 6.5A Fast Charging & 480Mbps Data Transmission, 10000+ Bends Lifespan and Extended 1.5m Length(Rebellious Black)",Computers&Accessories,4.1,1780.0,1.4210526315789473,positive,0.09141274238227147,Charging & Power,41,"cable, charging, fast, charger, charge, watt, power",2466
B09CMP1SC8,"Ambrane 2 in 1 Type-C & Micro USB Cable with 60W / 3A Fast Charging, 480 mbps High Data, PD Technology & Quick Charge 3.0, Compatible with All Type-C & Micro USB Devices (ABDC-10, Black)",Computers&Accessories,4.1,602.0,1.3606182606749224,positive,0.11794871794871795,Charging & Power,29,"type, charging, cable, usb, fast, adapter, charge",1385
B09YLXYP7Y,"Ambrane 60W / 3A Fast Charging Output Cable with Type-C to USB for Mobile, Neckband, True Wireless Earphone Charging, 480mbps Data Sync Speed, 1m Length (ACT - AZ10, Black)",Computers&Accessories,4.0,1423.0,1.829982843991256,positive,0.27906976744186046,Charging & Power,5,"charging, cable, fast, usb",317
B09ZPM4C2C,TCL 80 cm (32 inches) HD Ready Certified Android Smart LED TV 32S5205 (Black),Electronics,4.1,398.0,1.0540925533894598,positive,0.13333333333333333,Product Quality & Durability,3,quality,675
B0B2DJDCPX,"SWAPKART Fast Charging Cable and Data Sync USB Cable Compatible for iPhone 6/6S/7/7+/8/8+/10/11, 12, 13 Pro max iPad Air/Mini, iPod and iOS Devices (White)",Computers&Accessories,3.9,536.0,1.1428571428571428,positive,0.20408163265306123,Charging & Power,5,"charging, cable, fast",325
B0BCZCQTJX,Firestick Remote,Electronics,4.0,32.0,0.8574929257125441,positive,0.08823529411764706,Compatibility & Usability,4,"works, working",984
B07LGT55SJ,"Wayona Usb Nylon Braided Data Sync And Charging Cable For Iphone, Ipad Tablet (Red, Black)",Computers&Accessories,4.2,24269.0,1.3339459376998313,positive,0.22058823529411764,Charging & Power,6,"charging, cable, fast",483
B09NKZXMWJ,"Flix (Beetel) Usb To Type C Pvc Data Sync And 2A 480Mbps Data Sync, Tough Fast Charging Long Cable For Usb Type C Devices, Charging Adapter (White, 1 Meter) - Xcd-C12",Computers&Accessories,4.0,9378.0,0.9299811099505543,positive,0.10810810810810811,Charging & Power,5,"charging, fast",529
B08QX1CC14,SKYWALL 81.28 cm (32 inches) HD Ready Smart LED TV 32SWELS-PRO (Black),Electronics,3.4,902.0,0.8626621856275073,positive,0.11627906976744186,Product Quality & Durability,4,"quality, working",604
B0974H97TJ,"boAt A 350 Type C Cable for Smartphone, Charging Adapter (1.5m, Carbon Black)",Computers&Accessories,4.4,28791.0,1.7320508075688772,positive,0.2,Charging & Power,10,"cable, charging, watt, fast, battery, charge",549
B07GVGTSLN,"Wayona Usb Type C Fast Charger Cable Fast Charging Usb C Cable/Cord Compatible For Samsung Galaxy S10E S10 S9 S8 Plus S10+,Note 10 Note 9 Note 8,S20,M31S,M40,Realme X3,Pixel 2 Xl (3 Ft Pack Of 1,Grey)",Computers&Accessories,4.2,10576.0,0.9538209664765319,positive,0.08270676691729323,Charging & Power,14,"cable, charging, charger, fast",905
B09VCHLSJF,OnePlus 108 cm (43 inches) Y Series 4K Ultra HD Smart Android LED TV 43Y1S Pro (Black),Electronics,4.2,7298.0,0.534133315601561,positive,0.06404657933042213,Product Quality & Durability,13,"quality, defective",4937
B0B1YZX72F,Acer 127 cm (50 inches) I Series 4K Ultra HD Android Smart LED TV AR50AR2851UDFL (Black),Electronics,4.3,4703.0,1.4724700907550443,positive,0.08108108108108109,Compatibility & Usability,17,"connect, laptop, phone, compatible, works, mobile, connection, device",4919
B092BJMT8Q,Samsung 108 cm (43 inches) Crystal 4K Series Ultra HD Smart LED TV UA43AUE60AKLXL (Black),Electronics,4.3,7109.0,0.9070314577338638,positive,0.04821150855365474,Product Quality & Durability,8,"quality, defective, long",4728
B0BMXMLSMM,"Lapster 65W compatible for OnePlus Dash Warp Charge Cable , type c to c cable fast charging Data Sync Cable Compatible with One Plus 10R / 9RT/ 9 pro/ 9R/ 8T/ 9/ Nord & for All Type C Devices – Red, 1 Meter",Computers&Accessories,4.5,127.0,1.7817416127494958,positive,0.19047619047619047,Charging & Power,17,"cable, fast, charging, type",914
B07JH1C41D,"Wayona Nylon Braided (2 Pack) Lightning Fast Usb Data Cable Fast Charger Cord For Iphone, Ipad Tablet (3 Ft Pack Of 2, Grey)",Computers&Accessories,4.2,24269.0,1.35400640077266,positive,0.22727272727272727,Charging & Power,6,"charging, cable, fast",459
B0141EZMAI,"Gizga Essentials USB WiFi Adapter for PC, 150 Mbps Wireless Network Adapter for Desktop - Nano Size WiFi Dongle Compatible with Windows, Mac OS & Linux Kernel | WPA/WPA2 Encryption Standards| Black",Computers&Accessories,3.6,10134.0,0.9494253265550826,positive,0.11267605633802817,Compatibility & Usability,2,"working, easy",502
B09Q5P2MT3,OnePlus 108 cm (43 inches) Y Series Full HD Smart Android LED TV 43 Y1S (Black),Electronics,4.2,34899.0,0.8444006618414982,positive,0.0855614973262032,Price & Value,12,"worth, affordable, price, cost, money, budget",3945
B08HDH26JX,"boAt Deuce USB 300 2 in 1 Type-C & Micro USB Stress Resistant, Sturdy Cable with 3A Fast Charging & 480mbps Data Transmission, 10000+ Bends Lifespan and Extended 1.5m Length(Mercurial Black)",Computers&Accessories,4.2,94363.0,1.0,positive,0.15625,Charging & Power,5,"cable, charger, fast, charging, type",443
B09VT6JKRP,Lapster USB 3.0 A to Micro B SuperSpeed for hard disk cable - short cable,Computers&Accessories,4.1,425.0,1.638576060745828,positive,0.1917808219178082,Price & Value,6,"value, money, price",492
B09T3KB6JZ,TCL 100 cm (40 inches) Full HD Certified Android R Smart LED TV 40S6505 (Black),Electronics,4.2,6659.0,0.623008957981398,positive,0.05390835579514825,Compatibility & Usability,8,"android, working",2707
B093QCY6YJ,"ZEBRONICS ZEB-USB150WF1 WiFi USB Mini Adapter Supports 150 Mbps Wireless Data, Comes with Advanced Security WPA/WPA2 encryption Standards",Computers&Accessories,3.7,1977.0,1.0242950394631678,positive,0.13114754098360656,Compatibility & Usability,5,"working, laptop, works",426
B093ZNQZ2Y,"LOHAYA Remote Compatible for Mi Smart LED TV 4A Remote Control (32""/43"") [ Compatible for Mi Tv Remote Control ] [ Compatible for Mi Smart LED Tv Remote Control ]",Electronics,3.8,1079.0,0.5050762722761054,positive,0.15306122448979592,Compatibility & Usability,5,"working, works",706
B08LKS3LSP,"Gilary Multi Charging Cable, 3 in 1 Nylon Braided Fast Charging Cable for iPhone Micro USB Type C Mobile Phone | Colour May Vary |",Computers&Accessories,3.7,1097.0,0.5933908290969266,positive,0.1267605633802817,Charging & Power,4,"charging, cable",509
