main_category,product_count,avg_rating,avg_vader_compound,vader_positive_share,vader_neutral_share,vader_negative_share,baseline_vader_agreement
Electronics,526,4.081749049429658,0.8285460076045628,0.94106463878327,0.0038022813688212928,0.055133079847908745,0.9296577946768061
Computers&Accessories,453,4.154966887417219,0.8435061810154525,0.9558498896247241,0.006622516556291391,0.037527593818984545,0.9448123620309051
Home&Kitchen,448,4.040715883668904,0.7847220982142857,0.9308035714285714,0.008928571428571428,0.060267857142857144,0.8638392857142857
OfficeProducts,31,4.309677419354839,0.7893612903225806,0.9032258064516129,0.06451612903225806,0.03225806451612903,0.9032258064516129
HomeImprovement,2,4.25,0.8916999999999999,1.0,0.0,0.0,1.0
MusicalInstruments,2,3.9,0.99605,1.0,0.0,0.0,0.5
Car&Motorbike,1,3.8,0.9761,1.0,0.0,0.0,1.0
Health&PersonalCare,1,4.0,0.965,1.0,0.0,0.0,0.0
Toys&Games,1,4.3,0.9867,1.0,0.0,0.0,1.0
