amazon_record_id,product_id,product_name,main_category,sub_category,rating_num,rating_count_num,discount_percentage_num,estimated_revenue_proxy,review_length_chars,vader_compound_score,vader_sentiment_label,lda_topic_id,lda_topic_label,lda_topic_probability
11,B08CF3D7QR,Portronics Konnect L POR-1081 Fast Charging 3A Type-C Cable 1.2Meter with Charge & Sync Function for All Type-C Devices (Grey),Computers&Accessories,Accessories&Peripherals,4.3,13391.0,55,2062214.0,876,0.9236,positive,3,"Topic 3: Charging, Cables & Connectivity",0.98875073671712
12,B0789LZTCJ,boAt Rugged v3 Extra Tough Unbreakable Braided Micro USB Cable 1.5 Meter (Black),Computers&Accessories,Accessories&Peripherals,4.2,94363.0,63,28214537.0,443,0.8316,positive,3,"Topic 3: Charging, Cables & Connectivity",0.9849963517372795
13,B07KSMBL2H,"AmazonBasics Flexible Premium HDMI Cable (Black, 4K@60Hz, 18Gbps), 3-Foot",Electronics,"HomeTheater,TV&Video",4.4,426973.0,69,93507087.0,901,0.9921,positive,3,"Topic 3: Charging, Cables & Connectivity",0.7429775463904748
14,B085DTN6R2,"Portronics Konnect CL 20W POR-1067 Type-C to 8 Pin USB 1.2M Cable with Power Delivery & 3A Quick Charge Support, Nylon Braided for All Type-C and 8 Pin Devices, Green",Computers&Accessories,Accessories&Peripherals,4.2,2262.0,61,791700.0,766,0.9877,positive,3,"Topic 3: Charging, Cables & Connectivity",0.9174724908994429
15,B09KLVMZ3B,Portronics Konnect L 1.2M POR-1401 Fast Charging 3A 8 Pin USB Cable with Charge & Sync Function (White),Computers&Accessories,Accessories&Peripherals,4.1,4768.0,60,758112.0,694,0.9719,positive,3,"Topic 3: Charging, Cables & Connectivity",0.9826603169675625
16,B083342NKJ,MI Braided USB Type-C Cable for Charging Adapter (Red),Computers&Accessories,Accessories&Peripherals,4.4,18757.0,13,6546193.0,439,0.9698,positive,3,"Topic 3: Charging, Cables & Connectivity",0.9794725899257852
17,B0B6F7LX4C,MI 80 cm (32 inches) 5A Series HD Ready Smart Android LED TV L32M7-5AIN (Black),Electronics,"HomeTheater,TV&Video",4.2,32840.0,44,459727160.0,759,0.9625,positive,2,"Topic 2: Smart Devices, Wearables & Audio",0.9835363025799929
18,B082LSVT4B,"Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Type C to Type C Cable for Smartphones, Tablets, Laptops & Other Type C Devices, PD Technology, 480Mbps Data Sync (RCTT15, Black)",Computers&Accessories,Accessories&Peripherals,4.0,43994.0,38,10954506.0,1186,0.9853,positive,3,"Topic 3: Charging, Cables & Connectivity",0.9958204297320347
19,B08WRBG3XW,"boAt Type C A325 Tangle-free, Sturdy Type C Cable with 3A Rapid Charging & 480mbps Data Transmission(Black)",Computers&Accessories,Accessories&Peripherals,4.1,13045.0,60,2595955.0,839,-0.1887,negative,3,"Topic 3: Charging, Cables & Connectivity",0.9912780728687278
20,B08DPLCM6T,LG 80 cm (32 inches) HD Ready Smart LED TV 32LM563BPTC (Dark Iron Gray),Electronics,"HomeTheater,TV&Video",4.3,11976.0,39,161556240.0,434,0.875,positive,1,"Topic 1: Value, Usability & Everyday Products",0.5204982726416062
21,B09C6HXFC1,"Duracell USB Lightning Apple Certified (Mfi) Braided Sync & Charge Cable For Iphone, Ipad And Ipod. Fast Charging Lightning Cable, 3.9 Feet (1.2M) - Black",Computers&Accessories,Accessories&Peripherals,4.5,815.0,46,790550.0,600,0.9918,positive,3,"Topic 3: Charging, Cables & Connectivity",0.9819314138006502
22,B085194JFL,"tizum HDMI to VGA Adapter Cable 1080P for Projector, Computer, Laptop, TV, Projectors & TV",Electronics,"HomeTheater,TV&Video",3.7,10962.0,44,3058398.0,839,0.1729,positive,2,"Topic 2: Smart Devices, Wearables & Audio",0.5602265520456938
23,B09F6S8BT6,Samsung 80 cm (32 Inches) Wondertainment Series HD Ready LED Smart TV UA32T4340BKXXL (Glossy Black),Electronics,"HomeTheater,TV&Video",4.3,16299.0,41,219873510.0,549,-0.8476,negative,1,"Topic 1: Value, Usability & Everyday Products",0.7438757258095333
24,B09NHVCHS9,Flix Micro Usb Cable For Smartphone (Black),Computers&Accessories,Accessories&Peripherals,4.0,9378.0,70,553302.0,505,0.9817,positive,3,"Topic 3: Charging, Cables & Connectivity",0.9808725373994858
25,B0B1YVCJ2Y,Acer 80 cm (32 inches) I Series HD Ready Android Smart LED TV AR32AR2841HDFL (Black),Electronics,"HomeTheater,TV&Video",4.3,4703.0,42,54079797.0,4919,0.9988,positive,1,"Topic 1: Value, Usability & Everyday Products",0.7605300774272981
26,B01M4GGIVU,Tizum High Speed HDMI Cable with Ethernet | Supports 3D 4K | for All HDMI Devices Laptop Computer Gaming Console TV Set Top Box (1.5 Meter/ 5 Feet),Electronics,"HomeTheater,TV&Video",4.2,12153.0,72,2418447.0,1181,0.9816,positive,1,"Topic 1: Value, Usability & Everyday Products",0.5584451274272831
27,B08B42LWKN,OnePlus 80 cm (32 inches) Y Series HD Ready LED Smart Android TV 32Y1 (Black),Electronics,"HomeTheater,TV&Video",4.2,34899.0,25,523450101.0,3945,0.9966,positive,2,"Topic 2: Smart Devices, Wearables & Audio",0.6453051197833994
28,B094JNXNPV,"Ambrane Unbreakable 3 in 1 Fast Charging Braided Multipurpose Cable for Speaker with 2.1 A Speed - 1.25 meter, Black",Computers&Accessories,Accessories&Peripherals,4.0,2766.0,25,827034.0,943,0.7626,positive,3,"Topic 3: Charging, Cables & Connectivity",0.9897809927795773
29,B09W5XR9RT,"Duracell USB C To Lightning Apple Certified (Mfi) Braided Sync & Charge Cable For Iphone, Ipad And Ipod. Fast Charging Lightning Cable, 3.9 Feet (1.2M) - Black",Computers&Accessories,Accessories&Peripherals,4.4,184.0,51,178480.0,555,0.9686,positive,3,"Topic 3: Charging, Cables & Connectivity",0.9841635119385653
30,B077Z65HSD,"boAt A400 USB Type-C to USB-A 2.0 Male Data Cable, 2 Meter (Black)",Computers&Accessories,Accessories&Peripherals,4.3,20850.0,70,6234150.0,836,0.9849,positive,3,"Topic 3: Charging, Cables & Connectivity",0.9901973943053665
31,B00NH11PEY,"AmazonBasics USB 2.0 - A-Male to A-Female Extension Cable for Personal Computer, Printer (Black, 9.8 Feet/3 Meters)",Computers&Accessories,Accessories&Peripherals,4.5,74976.0,73,14920224.0,1254,0.9387,positive,3,"Topic 3: Charging, Cables & Connectivity",0.9912948896180817
32,B09CMM3VGK,"Ambrane 60W / 3A Type C Fast Charging Unbreakable 1.5m L Shaped Braided Cable, PD Technology, 480Mbps Data Transfer for Smartphones, Tablet, Laptops & other type c devices (ABLC10, Black)",Computers&Accessories,Accessories&Peripherals,4.0,1934.0,64,346186.0,1092,0.9695,positive,3,"Topic 3: Charging, Cables & Connectivity",0.9897886479250841
33,B08QSC1XY8,"Zoul USB C 60W Fast Charging 3A 6ft/2M Long Type C Nylon Braided Data Cable Quick Charger Cable QC 3.0 for Samsung Galaxy M31S M30 S10 S9 S20 Plus, Note 10 9 8, A20e A40 A50 A70 (2M, Grey)",Computers&Accessories,Accessories&Peripherals,4.3,974.0,65,378886.0,546,0.96,positive,3,"Topic 3: Charging, Cables & Connectivity",0.9870525723306315
34,B008FWZGSG,"Samsung Original Type C to C Cable - 3.28 Feet (1 Meter), White",Computers&Accessories,Accessories&Peripherals,4.3,355.0,0,212645.0,555,0.9771,positive,3,"Topic 3: Charging, Cables & Connectivity",0.9818798182709672
35,B0B4HJNPV4,"pTron Solero T351 3.5Amps Fast Charging Type-C to Type-C PD Data & Charging USB Cable, Made in India, 480Mbps Data Sync, Durable 1 Meter Long Cable for Type-C Smartphones, Tablets & Laptops (Black)",Computers&Accessories,Accessories&Peripherals,3.9,1075.0,80,213925.0,468,0.836,positive,3,"Topic 3: Charging, Cables & Connectivity",0.9851661399982349
36,B08Y1SJVV5,"pTron Solero MB301 3A Micro USB Data & Charging Cable, Made in India, 480Mbps Data Sync, Strong & Durable 1.5-Meter Nylon Braided USB Cable for Micro USB Devices - (Black)",Computers&Accessories,Accessories&Peripherals,3.9,24871.0,85,2462229.0,274,0.6611,positive,3,"Topic 3: Charging, Cables & Connectivity",0.9488328832291941
37,B07XLCFSSN,"Amazonbasics Nylon Braided Usb-C To Lightning Cable, Fast Charging Mfi Certified Smartphone, Iphone Charger (6-Foot, Dark Grey)",Computers&Accessories,Accessories&Peripherals,4.4,13552.0,53,12183248.0,1086,0.9934,positive,3,"Topic 3: Charging, Cables & Connectivity",0.991241814525559
38,B09RZS1NQT,"Sounce 65W OnePlus Dash Warp Charge Cable, 6.5A Type-C to USB C PD Data Sync Fast Charging Cable Compatible with One Plus 8T/ 9/ 9R/ 9 pro/ 9RT/ 10R/ Nord & for All Type C Devices – Red, 1 Meter",Computers&Accessories,Accessories&Peripherals,4.0,576.0,80,114624.0,915,0.9906,positive,3,"Topic 3: Charging, Cables & Connectivity",0.989513641350972
39,B0B3MMYHYW,OnePlus 126 cm (50 inches) Y Series 4K Ultra HD Smart Android LED TV 50Y1S Pro (Black),Electronics,"HomeTheater,TV&Video",4.2,7298.0,28,240826702.0,4937,-0.9821,negative,1,"Topic 1: Value, Usability & Everyday Products",0.5241878807302838
40,B09C6HWG18,"Duracell Type C To Type C 5A (100W) Braided Sync & Fast Charging Cable, 3.9 Feet (1.2M). USB C to C Cable, Supports PD & QC 3.0 Charging, 5 GBPS Data Transmission – Black",Computers&Accessories,Accessories&Peripherals,4.2,462.0,51,448140.0,1066,0.9839,positive,3,"Topic 3: Charging, Cables & Connectivity",0.9916856360262404
41,B00NH11KIK,"AmazonBasics USB 2.0 Cable - A-Male to B-Male - for Personal Computer, Printer- 6 Feet (1.8 Meters), Black",Computers&Accessories,Accessories&Peripherals,4.5,107687.0,70,22506583.0,569,0.5499,positive,3,"Topic 3: Charging, Cables & Connectivity",0.43521720452289564
42,B09JPC82QC,Mi 108 cm (43 inches) Full HD Android LED TV 4C | L43M6-INC (Black),Electronics,"HomeTheater,TV&Video",4.3,27151.0,43,542992849.0,13253,0.9998,positive,2,"Topic 2: Smart Devices, Wearables & Audio",0.7828929295210642
43,B07JW1Y6XV,"Wayona Nylon Braided 3A Lightning to USB A Syncing and Fast Charging Data Cable for iPhone, Ipad (3 FT Pack of 1, Black)",Computers&Accessories,Accessories&Peripherals,4.2,24269.0,64,9683331.0,483,0.9033,positive,3,"Topic 3: Charging, Cables & Connectivity",0.9850429714906349
