dominant_topic,product_count,avg_rating,avg_rating_count,avg_sentiment_score,negative_share
Product Quality & Durability,421,4.062232779097387,16700.030878859856,0.8861567314384771,0.0332541567695962
Charging & Power,404,4.1180693069306935,26230.280397022332,0.8812895231533363,0.009900990099009901
Compatibility & Usability,322,4.123602484472049,16532.02795031056,0.8104455274214271,0.009316770186335404
Price & Value,271,4.091851851851851,13006.247232472324,0.8768459387591857,0.0036900369003690036
Delivery & Packaging,34,4.064705882352941,8345.545454545454,0.40355836435382103,0.11764705882352941
General Experience,13,4.053846153846154,3188.6153846153848,0.4684812042200547,0.0
