topic_count,heldout_perplexity,train_log_likelihood,selected_model
3,1817.9624985450653,-763302.6343845284,True
4,1930.3954756025719,-759195.0786607492,False
5,2054.9730955063583,-757087.2031072492,False
6,2269.582308489958,-757929.1441856876,False
7,2426.5306006429532,-758706.0175916443,False
8,2564.181925092348,-758904.7927936804,False
